cluster_id,anchor_index,n_samples,class_0,class_1,mi_mean_all,mi_mean_top30,mi_mean_rest,mi_delta_top30_rest,mi_ratio_top30_all,acc_top30,f1_top30,top30_features
0,32778,500,436,64,0.009929643102021872,0.1318366750684525,0.006159322525740515,0.125677352542712,13.277080929686985,0.98,0.9230769230769231,"['n_api_calls', 'intent_com.google.android.gms.iid.InstanceID', 'n_receivers', 'perm_android.permission.READ_PHONE_STATE', 'n_activities', 'n_urls', 'intent_android.intent.action.ACTION_POWER_CONNECTED', 'suspicious_getCellSignalStrength', 'n_providers', 'suspicious_getCellLocation', 'perm_android.permission.BLUETOOTH_ADMIN', 'n_services', 'perm_android.permission.ACCESS_FINE_LOCATION', 'perm_android.permission.ACCESS_COARSE_LOCATION', 'perm_android.permission.BLUETOOTH', 'intent_android.intent.action.VIEW', 'n_permissions', 'perm_android.permission.FLASHLIGHT', 'n_used_permissions', 'intent_com.google.android.c2dm.intent.REGISTRATION', 'intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION', 'intent_android.appwidget.action.APPWIDGET_UPDATE', 'intent_com.google.android.gms.analytics.ANALYTICS_DISPATCH', 'intent_android.intent.action.ACTION_VIEW_DOWNLOADS', 'intent_android.appwidget.action.APPWIDGET_CONFIGURE', 'perm_android.permission.VIBRATE', 'intent_android.intent.action.MEDIA_BUTTON', 'intent_android.intent.action.DOWNLOAD_COMPLETE', 'perm_android.permission.GET_ACCOUNTS', 'intent_android.intent.action.DOWNLOAD_NOTIFICATION_CLICKED']"
1,70505,500,497,3,0.0014298638061431821,0.017263440433685884,0.0009401655599305212,0.016323274873755362,12.073485851950558,1.0,1.0,"['suspicious_Cipher', 'perm_android.permission.ACCESS_COARSE_LOCATION', 'perm_android.permission.CHANGE_WIFI_STATE', 'suspicious_getPackageInfo', 'perm_android.permission.ACCESS_NETWORK_STATE', 'intent_android.intent.action.BOOT_COMPLETED', 'intent_android.intent.action.MAIN', 'n_providers', 'intent_com.qihoo.appstore.battery.STOP', 'intent_com.qihoo.appstore.checkupdate.INIT_APK_INFO', 'intent_com.secneo.plugin.action.DAILY', 'intent_com.android.utils.hades.ACTION_UPDATE_SYS_WRAPPER', 'perm_com.thunderst.launcher.permission.READ_SETTINGS', 'perm_android.permission.FOREGROUND_SERVICE', 'suspicious_Ldalvik/system/DexClassLoader;', 'suspicious_Base64', 'suspicious_getDeviceId', 'intent_com.baidu.android.pushservice.action.notification.CLICK', 'suspicious_getSubscriberId', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.RECEIVE_BOOT_COMPLETED', 'intent_com.secneo.proxy.action.CUSTOM', 'n_permissions', 'perm_android.permission.SET_DEBUG_APP', 'perm_android.permission.PROCESS_OUTGOING_CALLS', 'intent_com.amir.nightjar.service.BUFFER_SERVICES', 'intent_cn.jpush.android.intent.NOTIFICATION_RECEIVED_PROXY', 'intent_com.example.servicejar.action.START_SPIRIT', 'intent_cn.jpush.android.intent.REGISTRATION', 'perm_telecom.mdesk.permission.READ_SETTINGS']"
2,50222,500,500,0,0.0,0.0,0.0,0.0,0.0,,,[]
3,34982,500,374,126,0.011996506372188652,0.11344370012505137,0.008858964297357844,0.10458473582769352,9.456394770734791,0.9266666666666666,0.8533333333333334,"['suspicious_getSubscriberId', 'suspicious_getCellLocation', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'perm_android.permission.READ_PHONE_STATE', 'suspicious_adb_enabled', 'perm_android.permission.CHANGE_WIFI_STATE', 'n_permissions', 'intent_android.intent.action.USER_PRESENT', 'perm_android.permission.GET_TASKS', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'suspicious_getSimCountryIso', 'perm_android.permission.RECEIVE_SMS', 'perm_android.permission.READ_LOGS', 'perm_android.permission.CHANGE_NETWORK_STATE', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'n_urls', 'suspicious_Ldalvik/system/PathClassLoader;', 'n_services', 'perm_android.permission.CALL_PHONE', 'suspicious_getWifiState', 'perm_com.majeur.launcher.permission.UPDATE_BADGE', 'intent_com.yandex.metrica.IMetricaService', 'intent_android.intent.action.CHINAMOBILE_OMS_GAME', 'perm_android.permission.GET_PACKAGE_SIZE', 'n_activities', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.groups2', 'intent_android.intent.action.PACKAGE_REMOVED', 'perm_android.permission.BROADCAST_STICKY', 'perm_android.permission.READ_SMS']"
4,33753,500,499,1,1.0020040084600668e-06,3.3400133600976675e-05,4.440892098500626e-16,3.3400133600532586e-05,33.33333331900317,,,"['n_api_calls', 'perm_android.permission.GET_TASKS', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'n_urls', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'n_used_permissions', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'perm_android.permission.CHANGE_WIFI_STATE', 'perm_android.permission.SEND_SMS', 'n_permissions', 'suspicious_getSubscriberId', 'intent_android.intent.action.USER_PRESENT', 'perm_android.permission.CHANGE_NETWORK_STATE', 'perm_android.permission.WRITE_SETTINGS', 'perm_android.permission.READ_SMS', 'perm_android.permission.WRITE_SMS', 'suspicious_getSystemService', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'perm_android.permission.READ_LOGS', 'suspicious_Base64', 'perm_android.permission.RECEIVE_SMS', 'suspicious_Ldalvik/system/PathClassLoader;', 'suspicious_getPackageInfo', 'intent_android.intent.action.PACKAGE_ADDED', 'perm_android.permission.ACCESS_WIFI_STATE', 'intent_com.google.android.c2dm.intent.RECEIVE', 'perm_com.android.launcher.permission.READ_SETTINGS', 'intent_android.intent.action.PACKAGE_REMOVED', 'suspicious_getExternalStorageDirectory']"
5,58339,500,398,102,0.010325510156834637,0.07449970796029766,0.00834074115260382,0.06615896680769384,7.215111585647416,0.8533333333333334,0.6206896551724138,"['perm_com.google.android.c2dm.permission.RECEIVE', 'n_api_calls', 'intent_com.google.android.c2dm.intent.RECEIVE', 'intent_com.igexin.sdk.action.refreshls', 'perm_android.permission.UPDATE_APP_OPS_STATS', 'intent_com.android.vending.INSTALL_REFERRER', 'perm_android.permission.SEND_SMS', 'intent_com.google.firebase.INSTANCE_ID_EVENT', 'intent_com.getui.gtc.sdk.service.action', 'suspicious_sendTextMessage', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'n_permissions', 'intent_com.google.firebase.MESSAGING_EVENT', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.GET_TASKS', 'perm_android.permission.WRITE_SMS', 'perm_com.android.launcher.permission.UNINSTALL_SHORTCUT', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'perm_android.permission.WRITE_SETTINGS', 'n_urls', 'perm_com.huawei.android.launcher.permission.CHANGE_BADGE', 'intent_android.intent.action.USER_PRESENT', 'perm_com.android.launcher2.permission.READ_SETTINGS', 'perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE', 'n_services', 'perm_android.permission.BROADCAST_STICKY', 'perm_com.android.launcher.permission.WRITE_SETTINGS', 'perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE', 'intent_wifi.intent.action.SDK_RESULT', 'intent_com.telecom.sdk_auth_ui.SMS_CODE_SEND_ACTIOIN']"
6,11565,500,497,3,0.0017297678880510187,0.023834558883772047,0.0010461145582864508,0.022788444325485595,13.779050384978044,1.0,1.0,"['perm_android.permission.WRITE_EXTERNAL_STORAGE', 'intent_com.google.android.c2dm.intent.RECEIVE', 'perm_android.permission.ACCESS_NETWORK_STATE', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.VIBRATE', 'n_providers', 'n_permissions', 'perm_android.permission.GET_ACCOUNTS', 'intent_android.intent.action.MAIN', 'intent_com.google.android.gms.appinvite.ACTION_PREVIEW', 'intent_com.google.android.gms.measurement.UPLOAD', 'perm_android.permission.ACCESS_COARSE_LOCATION', 'n_used_permissions', 'n_api_calls', 'n_activities', 'intent_com.google.firebase.INSTANCE_ID_EVENT', 'intent_com.xiaomi.push.PING_TIMER', 'intent_com.qihoo360.daemon.pcdaemon.ACTION_START_CAPTURE', 'n_urls', 'intent_com.excelliance.dualaid.action.phone_res_download', 'perm_android.permission.ACCESS_WIFI_STATE', 'intent_cn.play.dservice', 'intent_com.excelliance.dualaid.SHORTCUT_ALARM', 'n_receivers', 'n_services', 'suspicious_Ldalvik/system/PathClassLoader;', 'intent_action_send_cancel', 'intent_com.qihoo.appstore.APPWATCHER_CHANGE_TIME', 'perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE', 'intent_android.accessibilityservice.AccessibilityService']"
7,24425,500,473,27,0.0044852259202296935,0.04478741108699461,0.0032387665851751086,0.041548644501819505,9.985541839707597,0.98,0.8,"['intent_ACTION.TAPCORE.MESSAGE', 'intent_ACTION.TAPCORE.SYNC', 'perm_com.google.android.gms.permission.ACTIVITY_RECOGNITION', 'intent_com.yandex.metrica.IMetricaService', 'perm_android.permission.BROADCAST_STICKY', 'intent_com.inmobi.share.id', 'perm_android.permission.GET_TASKS', 'perm_android.permission.READ_PHONE_STATE', 'n_providers', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'suspicious_system/bin/su', 'suspicious_setWifiEnabled', 'n_permissions', 'n_services', 'intent_com.coolcloud.xmpp.NOTIFICATION.1010048', 'n_api_calls', 'suspicious_Ldalvik/system/DexClassLoader;', 'perm_com.google.android.gms.permission.AD_ID_NOTIFICATION', 'perm_android.permission.WRITE_APN_STORAGE', 'intent_android.intent.action.NOTIFICATION_UPDATE', 'intent_android.fbreader.action.PLUGIN', 'intent_android.intent.action.DATA_SMS_RECEIVED', 'intent_com.umeng.messge.registercallback.action', 'intent_android.intent.action.SEND', 'n_activities', 'intent_android.intent.action.SENDTO', 'perm_com.nd.android.launcher.permission.WRITE_SETTINGS', 'perm_android.permission.GET_DETAILED_TASKS', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.sierra']"
8,12382,500,493,7,0.0025274827351676105,0.03609601825103013,0.0014892806058110376,0.03460673764521909,14.281410412339142,0.9866666666666667,0.0,"['suspicious_Cipher', 'suspicious_Ldalvik/system/DexClassLoader;', 'suspicious_Base64', 'perm_android.permission.ACCESS_NETWORK_STATE', 'suspicious_getSystemService', 'suspicious_getPackageInfo', 'intent_android.intent.action.MAIN', 'n_permissions', 'n_urls', 'n_used_permissions', 'n_activities', 'intent_com.mobiletool.appstore.action.update', 'intent_com.qihoo.appstore.checkupdate.NOTIFY_APP_UPDATE', 'intent_io.intercom.android.sdk.INTERCOM_PUSH_DISMISSED', 'intent_com.qihoo.appstore.launcher.shortcut.HAOWU', 'intent_safiap.GET_SHARED_DATA', 'intent_com.adroid.SERVICE', 'perm_com.yulong3.android.launcher.permission.WRITE_SETTINGS', 'intent_com.kingroot.master.action.MAIN_EXIT_CHECK', 'perm_android.permission.READ_CELL_BROADCASTS', 'perm_com.oppo.launcher.permission.WRITE_SETTINGS', 'intent_android.intent.action.SCREEN_ON', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.writely', 'intent_com.xiaomi.hy.push.client.ONCLICK', 'perm_com.facebook.katana.permission.RECEIVE_ADM_MESSAGE', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.BACKUP', 'intent_com.amir.nightjar.service.CONFIG_SERVICES', 'perm_com.s.launcher.permission.WRITE_SETTINGS', 'intent_android.intent.action.UMS_DISCONNECTED']"
9,53749,500,489,11,0.0024077551847076794,0.018087898126352572,0.0019228023102238168,0.016165095816128756,7.512349362274797,0.98,0.0,"['intent_com.sogou.passport.service.upload', 'suspicious_getSubscriberId', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.ACCESS_NETWORK_STATE', 'intent_com.android.utils.hades.ACTION_UPDATE_SYS_WRAPPER', 'intent_android.intent.action.INSTALL', 'intent_android.fbreader.action.PLUGIN_CRASH', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH', 'perm_android.permission.RECEIVE_USER_PRESENT', 'perm_org.adw.launcher_donut.permission.WRITE_SETTINGS', 'intent_android.intent.action.USER_PRESENT', 'intent_com.kingroot.ACTION_SERVICE_PSS_RECORD', 'intent_com.qihoo360.daemon.pcdaemon.ACTION_START_CAPTURE', 'intent_android.intent.action.INPUT_METHOD_CHANGED', 'intent_com.google.android.c2dm.intent.RECEIVE', 'perm_com.google.android.c2dm.permission.RECEIVE', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'intent_com.android.vending.INSTALL_REFERRER', 'intent_com.smartdialer.voip.action.STATE_RINGING', 'intent_android.intent.action.UMS_CONNECTED', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'intent_com.facebook.sdk.ACTION_CURRENT_ACCESS_TOKEN_CHANGED', 'perm_android.permission.CHANGE_WIFI_STATE', 'intent_android.Intent.ACTION_NEW_OUTGOING_CALL', 'intent_com.google.firebase.INSTANCE_ID_EVENT', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.ig', 'perm_android.permission.WRITE_SYNC_SETTINGS', 'perm_android.permission.SET_WALLPAPER_HINTS', 'intent_com.qihoo.appstore.launcher.shortcut.GAME_RESERVATION', 'perm_com.mediatek.launcherplus.permission.READ_SETTINGS']"
