perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_SCREEN_ON,intent_android_intent_action_SCREEN_OFF,perm_android_permission_GET_TASKS,intent_android_intent_action_SEND,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_QUICKBOOT_POWERON,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,n_receivers,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,n_providers,intent_android_net_wifi_WIFI_STATE_CHANGED,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_net_conn_CONNECTIVITY_CHANGE,n_permissions,suspicious_Ljava_lang_System___loadLibrary,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_CAMERA,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_NETWORK_STATE,label
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,8,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,0,19,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,6,1,0,0,0,1,1
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,7,0,0,0,0,1,0
1,0,0,0,0,0,0,23,0,0,0,0,1,1,1,0,0,5,1,0,2,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,1,23,0,0,0,0,1,1,1,0,1,5,1,0,2,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,26,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,5,1,0,2,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,3,1,0,3,0,0,0,6,1,0,0,0,1,0
1,0,0,0,0,0,1,22,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,1
0,0,0,0,0,0,0,21,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,8,1,0,1,0,1,0
0,0,0,0,0,0,0,25,0,0,0,1,1,1,1,0,0,5,1,0,1,0,1,0,7,1,1,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,1,24,0,0,0,0,0,1,1,0,1,3,1,0,1,0,1,0,9,0,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,4,1,1,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,1,1,0,0,4,1,0,1,0,1,0,6,0,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,5,0,0,0,0,1,0
1,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,8,1,0,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,1,0,0,3,1,0,5,0,0,0,5,1,0,0,0,1,0
1,0,0,0,0,0,1,27,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,8,1,0,0,0,1,0
1,0,0,0,0,0,1,23,0,0,0,0,1,1,1,0,0,3,1,0,5,0,0,0,8,0,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,24,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,1
0,0,0,0,0,0,0,23,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,7,0,0,0,0,1,0
1,0,0,0,0,0,1,23,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,7,1,0,0,0,1,0
1,0,0,0,0,0,1,24,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,7,1,0,0,0,1,0
1,0,0,0,0,0,1,21,0,0,0,0,1,1,1,1,0,3,1,0,2,0,0,0,8,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,7,1,0,0,0,1,0
1,0,0,0,0,0,1,23,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,7,1,0,0,0,1,1
0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,3,1,0,3,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,0,25,0,0,0,0,1,1,1,0,0,4,1,0,2,0,1,0,8,0,1,0,0,1,0
1,0,0,0,0,0,1,25,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,0
0,0,0,0,0,0,1,23,0,0,0,0,1,1,1,0,1,3,1,0,3,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0,1,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,1,0,0,1,1
1,0,0,0,1,0,1,26,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,8,0,1,0,0,1,0
0,0,0,0,0,0,0,25,0,0,0,0,1,1,1,0,0,5,1,0,3,0,0,1,6,0,0,0,0,1,0
0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0,1,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,1,0,0,4,1,0,4,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,26,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,8,1,0,1,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,5,1,1,0,0,1,0
0,0,0,0,0,0,0,21,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,0,5,0,0,0,0,1,0
1,0,0,0,0,0,1,25,1,0,0,0,1,1,1,1,0,4,1,0,3,0,0,0,9,1,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,6,1,1,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,7,1,0,0,0,1,0
0,0,0,0,1,0,1,24,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,7,1,0,1,0,1,1
0,0,0,0,0,0,0,25,0,0,0,0,1,1,1,0,1,4,1,0,1,0,0,0,6,1,1,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,23,0,0,0,0,0,1,0,0,0,5,1,0,1,0,1,0,7,1,1,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,27,0,0,0,0,1,1,1,0,1,3,1,0,1,0,1,0,9,0,0,0,0,1,0
1,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,10,0,0,0,0,1,0
0,0,0,0,0,0,0,25,0,0,0,0,1,1,1,0,0,3,1,0,3,0,0,0,6,1,0,0,0,1,1
1,0,0,0,0,0,1,22,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,1
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,0,3,1,0,4,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,1,24,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,0
1,0,0,0,0,0,1,24,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,6,0,1,0,0,1,0
0,0,0,0,0,0,1,27,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,5,1,1,0,0,1,0
1,0,0,0,0,0,1,25,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,7,1,0,0,0,1,1
0,0,0,0,0,0,0,19,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,1,24,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,0,6,1,0,1,0,1,0,7,0,1,0,0,1,0
0,0,0,0,0,0,1,26,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,0,7,1,0,0,0,1,0
1,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,1,1,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,3,1,0,3,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,3,1,0,4,0,0,0,8,0,0,0,1,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,6,0,0,0,0,1,0
1,0,0,0,0,0,1,24,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,8,1,0,1,0,1,0
1,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,5,1,0,3,0,0,0,8,0,0,1,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,1,1,4,1,0,2,0,0,1,9,1,0,0,0,1,0
1,0,0,0,0,0,1,23,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,9,0,0,0,0,1,0
1,0,0,0,0,0,1,22,0,0,0,0,1,1,0,0,0,3,1,0,3,0,0,0,8,0,0,0,0,1,0
0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,5,1,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,1,1,0,0,4,1,1,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,1,6,1,0,1,0,0,0,6,1,0,0,0,1,0
1,0,0,0,0,0,1,20,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,9,0,0,1,0,1,0
0,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,6,1,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,19,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,0,27,0,0,0,0,1,1,1,0,0,5,1,0,3,0,0,0,5,1,0,0,0,1,0
1,0,0,0,1,0,1,26,1,0,0,0,1,1,0,0,0,4,1,1,2,0,0,0,10,1,0,0,0,1,0
0,0,0,0,0,0,0,27,0,0,0,0,1,1,1,0,0,5,1,0,3,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,0,20,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,5,1,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,23,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,7,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
1,0,0,0,0,0,1,24,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,9,0,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,23,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,1
0,0,0,0,1,0,0,24,0,0,0,0,1,1,1,0,0,3,1,0,4,0,1,0,9,0,0,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0,0,3,1,0,3,0,0,0,5,0,0,0,0,1,0
1,0,0,0,0,1,1,23,0,0,0,0,1,1,1,0,0,3,1,0,3,0,0,0,10,0,0,1,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,5,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,25,0,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,9,1,1,0,0,1,0
0,0,0,0,0,0,1,24,0,0,0,0,1,1,1,0,0,5,1,0,1,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,0,21,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,7,0,0,0,0,1,0
0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,8,0,1,0,1,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,1,21,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,7,1,0,0,0,1,0
0,0,0,0,0,0,1,23,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,8,1,0,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,1,0,0,4,1,0,2,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,21,0,0,0,0,1,1,0,0,0,4,1,0,3,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,5,1,0,3,0,0,0,6,1,0,0,0,1,0
0,0,0,0,0,0,0,22,0,0,0,0,1,1,1,0,0,3,1,0,2,0,0,0,6,0,0,0,0,1,0
1,0,0,0,0,0,1,26,0,0,0,0,1,1,1,0,0,4,1,0,3,0,0,0,9,0,0,0,0,1,0
0,0,0,0,0,0,0,25,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,7,1,0,0,0,1,1
