n_api_calls,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_android_permission_WRITE_SETTINGS,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_USER_PRESENT,perm_android_permission_READ_PHONE_STATE,n_permissions,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getCellLocation,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_android_vending_INSTALL_REFERRER,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,n_providers,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_SEND_SMS,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ldalvik_system_PathClassLoader_,n_services,perm_android_permission_RESTART_PACKAGES,intent_com_igexin_sdk_action_refreshls,label
30,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
44,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,1,0,0,1,0,0,0,0,0,1,6,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
24,0,0,0,0,0,1,0,0,0,0,1,12,1,0,0,1,1,0,0,1,0,1,0,0,0,1,3,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,1,1,0,1,0,2,0,0,0,1,8,0,0,0
11,0,0,0,0,1,1,0,1,0,1,0,16,1,0,0,1,1,0,0,1,0,2,0,0,1,1,12,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,1,1,0,0,0,0,1,19,0,0,0,1,1,0,0,0,0,0,0,1,0,0,7,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,1,1,0,0,1,0,1,0,0,0,1,7,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,1,1,0,1,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0
36,0,1,1,1,1,1,1,1,1,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,1,0,0,0,0,3,0,0,0,0,5,0,0,0
20,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,1,1,0,0,1,0,1,0,0,0,1,10,0,0,0
60,1,1,1,1,1,0,1,1,1,0,1,27,0,1,0,0,0,0,1,0,0,1,1,0,1,0,9,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,1,1,0,0,1,0,2,0,0,0,1,6,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10,0,0,0
0,0,1,0,1,0,1,0,1,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,0,0,1
13,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,1,0,0,1,0,1,0,0,0,1,5,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,1,0,0,0,0,3,0,0,0,0,4,0,0,0
39,1,0,0,0,1,1,0,0,0,1,0,10,1,0,1,1,1,1,0,1,1,6,0,0,1,1,30,0,0,0
47,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,27,1,1,1,1,1,1,0,0,0,3,0,0,0,1,13,0,0,0
20,0,1,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,1,1,0,0,0,0,2,0,0,0,1,7,0,0,0
42,0,0,0,1,0,1,0,0,1,0,1,21,1,0,1,1,1,1,0,1,0,2,0,0,0,1,8,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,1,1,0,1,0,6,0,0,0,1,16,0,0,1
25,0,0,0,0,0,0,0,0,0,0,0,28,1,0,1,1,1,1,0,1,1,5,0,0,0,1,10,0,0,0
18,1,1,0,1,0,1,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,1,1,0,0,0,0,0,0,0,0,1,8,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,1,0,2,0,0,0,1,5,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0,0,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
43,0,1,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,1,1,0,1,0,3,0,0,0,1,6,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,1,1,1,1,42,0,0,0,0,0,0,1,0,0,0,0,1,1,0,13,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,1,1,0,0,1,0,1,0,0,0,1,3,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,1,0,0,0,0,1,28,1,0,1,1,1,0,0,0,0,2,0,0,0,1,9,0,0,0
29,0,0,0,0,0,0,0,0,0,0,1,31,1,0,1,1,1,1,0,1,0,3,0,0,0,1,13,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,1,0,0,1,0,1,0,0,0,1,7,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,1,1,0,1,0,3,0,0,0,1,4,0,0,1
18,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,9,1,0,1,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,1,0,2,0,0,0,0,7,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0,0,1,1,1,1,1,1,0,1,24,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11,0,0,0
41,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0
21,0,0,0,0,1,0,0,0,1,0,1,19,1,1,1,1,1,0,0,1,0,4,0,0,0,1,13,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,1,1,0,0,1,0,1,0,0,0,1,7,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,0,1,0,0,0,0,0,1,10,0,0,0
41,1,1,1,1,1,1,0,0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
35,1,0,0,0,1,1,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,0,0,0,0,0,1,0,0,0,0,0,27,1,0,1,1,1,1,0,1,0,3,0,0,0,1,8,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,1,1,1,1,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,1,0,0,0,1,1,1,19,1,0,0,1,1,0,0,1,0,2,0,0,1,0,14,1,0,0
10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,1,1,1,1,0,0,1,1,1,26,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,0,0,1,0,3,0,0,0,1,6,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,1,0,0,1,1,4,0,0,0,1,5,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,0,1,1,1,1,1,100,0,0,0,0,0,0,1,0,0,0,1,1,0,1,7,1,0,0
30,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0
33,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0
0,0,1,1,0,1,0,0,1,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
33,1,1,0,1,0,1,0,0,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31,0,0,0,0,0,1,0,0,0,0,1,32,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
16,0,1,0,1,0,0,0,0,0,0,1,13,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,0,1,0,1,0,0,0,1,2,0,0,1
20,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1
14,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,1,0,0,0,0,3,0,0,0,0,6,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,1,1,1,0,1,0,2,0,0,0,1,5,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,27,1,0,1,1,1,0,0,0,0,1,0,0,0,1,10,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,1,1,0,0,1,0,2,0,0,0,1,8,0,0,0
0,0,1,0,1,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,1,0,1,0,0,0,1,3,0,0,0
46,1,1,1,1,1,1,1,1,1,1,1,38,1,1,0,1,1,1,0,1,1,9,0,0,1,1,24,1,0,0
30,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0
21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
